Tales of Zestiria,JRPG,Anime,RPG,Fantasy,Open World,Story Rich,Action RPG,Adventure,Great Soundtrack,Singleplayer,Action,Co-op,Multiplayer,Action-Adventure,Local Co-Op,Atmospheric,Cute,Hack and Slash,Third Person,Character Customization
TRYP FPV : The Drone Racer Simulator,Simulation,Racing,Sports,Realistic,First-Person,Early Access,Third Person,Indie,Singleplayer
Dark Deception,Horror,Free to Play,First-Person,Singleplayer,Multiplayer,Psychological Horror,Runner,Indie,Survival Horror,Action,Dark Humor,Adventure,Survival,Story Rich,Arcade,RPG,Multiple Endings,Cinematic,Difficult,Dark
Warhammer: Vermintide 2 - Shadows Over Bögenhafen,Violent,Gore,Co-op,Hack and Slash,First-Person,Online Co-Op,Dark Fantasy,Multiplayer,Action,FPS,Atmospheric,PvE,Games Workshop,Team-Based,Replay Value,Indie,Action RPG,Tactical,Moddable,Fantasy
SCP: 5K,Combat,Multiplayer,Online Co-Op,Singleplayer,FPS,Horror,Tactical,Story Rich,Shooter,First-Person,Early Access,Lore-Rich,Gun Customization,Realistic,Action,Stealth,America,Sandbox,PvE,PvP
Tavern Master,Management,Simulation,Building,Medieval,Strategy,Resource Management,Indie,City Builder,Top-Down,Relaxing,Time Management,Atmospheric,Singleplayer,Crafting,Stylized,Historical,3D,Adventure,Dungeons & Dragons,Casual
DCS: Black Shark 3,Simulation,Free to Play
Space Rangers HD: A War Apart,Space,RPG,Strategy,Adventure,Simulation,Classic,Open World,Sci-fi,Action,Turn-Based,Atmospheric,Comedy,Nostalgia,Sandbox,Replay Value,Singleplayer,RTS,Arcade,2D,Procedural Generation
"Warhammer 40,000: Gladius - Adepta Sororitas",Strategy
Gems of War - Puzzle RPG,Free to Play,Match 3,Puzzle,PvE,PvP,Card Game,Strategy RPG,Turn-Based Strategy,RPG,Strategy,2D,Turn-Based Combat,Story Rich,Singleplayer,Casual,Fantasy,Magic,War,Adventure,Multiplayer
Holdfast: Nations At War,Historical,Multiplayer,War,Strategy,Military,Massively Multiplayer,Action,Simulation,FPS,Naval,Team-Based,Shooter,Tactical,Third-Person Shooter,First-Person,Indie,Moddable,Naval Combat,Wargame,Third Person
Warhammer: Vermintide 2 - Winds of Magic,Action,Gore,Violent,Co-op,FPS,Online Co-Op,Multiplayer,Hack and Slash,First-Person,Singleplayer,Games Workshop,Atmospheric,Dark Fantasy,Action RPG,Replay Value,PvE,Moddable,Fantasy,Adventure,Indie
NARUTO STORM 4 : Road to Boruto Expansion,Action,Adventure,Anime,Fighting,Ninja,Multiplayer
Hurtworld,Survival,FPS,Open World,Multiplayer,Open World Survival Craft,Crafting,Building,PvP,Adventure,Sandbox,Action,Early Access,Co-op,First-Person,Shooter,Simulation,Third Person,Singleplayer,Indie,Cartoony
Deceit - Spider Pack,Free to Play,Action,Indie,Multiplayer,FPS,Social Deduction
Backrooms: Escape Together,Multiplayer,Psychological Horror,Mystery,Survival Horror,Horror,Atmospheric,Early Access,Realistic,Online Co-Op,Procedural Generation,First-Person,Casual,Adventure,Action,Co-op,Exploration,3D,Singleplayer,Action-Adventure,Sci-fi
Strange Horticulture,Mystery,Puzzle,Exploration,Nature,Investigation,Relaxing,2D,Detective,Choices Matter,Multiple Endings,Story Rich,Simulation,Lovecraftian,Atmospheric,Adventure,Dark,Conversation,Point & Click,Alternate History,Colorful
Golf It!,Multiplayer,Mini Golf,Golf,Casual,Sports,Funny,Early Access,Online Co-Op,Simulation,Singleplayer,Level Editor,Indie,Local Multiplayer,Sandbox,Co-op,Family Friendly,Memes,Difficult,VR,Strategy
Cultist Simulator,Management,Card Game,Story Rich,Difficult,Horror,Roguelite,Tabletop,Lovecraftian,Atmospheric,Board Game,CRPG,Strategy RPG,Roguelike,Text-Based,RPG,2D,Multiple Endings,Crafting,Psychological Horror,Dark Humor
Hero's Hour,Turn-Based,Singleplayer,Pixel Graphics,Strategy,Turn-Based Strategy,Fantasy,Level Editor,Turn-Based Tactics,Multiplayer,Strategy RPG,Auto Battler,Procedural Generation,RPG,Old School,2D,Tactical,PvP,Local Co-Op,Atmospheric,4X
PAYDAY 2: Hotline Miami,Gore,Violent
Hunt: Showdown - Commedia Della Morte,Action,Gore,Violent,Character Customization,Beautiful,Team-Based,Gun Customization,Hunting,America,Battle Royale,Western,Zombies,Survival,FPS,Horror,Tactical,Great Soundtrack,Perma Death,Shooter,PvP
Hearts of Iron IV: Allied Armor Pack,Strategy,Simulation,Historical,Grand Strategy,Wargame
My Garage,Simulation,Automobile Sim,Racing,Realistic,Open World,First-Person,Sandbox,Singleplayer,Transportation,Early Access,Indie,Trading,3D,Multiplayer
Grimlord,Early Access,VR,Action RPG,RPG,Swordplay,Souls-like,Dark Fantasy,Physics,Dungeon Crawler,Story Rich,Hack and Slash,Medieval,Realistic,Action-Adventure,Magic,Adventure,Immersive Sim,Exploration,Gothic,Archery
Pikuniku,Indie,Casual,Adventure,Puzzle,Action,Co-op,Cute,Funny,Multiplayer,Platformer,2D,Local Co-Op,Family Friendly,Great Soundtrack,Comedy,Singleplayer,Puzzle Platformer,Colorful,Dystopian,Exploration
PAYDAY 2: Hostile Takeover Heist,Violent
Stormworks: Search and Destroy,Simulation,Strategy,War,Sandbox,Multiplayer,Action,Building,Naval
Endling - Extinction is Forever,Emotional,Adventure,Atmospheric,Indie,Survival,Cute,Nature,Simulation,Exploration,Singleplayer,Female Protagonist,Side Scroller,Drama,Dark,Dystopian,Stealth,Story Rich,Colorful,Choices Matter,Walking Simulator
